Регион,Округ,Код участка,Адрес,Абаев Герман Борисович,Ящук Александр Михайлович,Лоев Семён Владимирович,Байр Марк Михайлович,Бредихин Антон Викторович,Данилова Анна Геннадьевна,Бабошина Алина Олеговна,ср
Москва,Список,77.114.9,"город Москва, 2-й Верхний Михайловский проезд, дом 9А (ГАОУ ДПО МЦКО)",125,126,124,125,125,125,125,125
Москва,Список,77.054.22,"город Москва, улица Конёнкова, дом 10А (ГБОУ г.Москвы ""Школа ""Многопрофильный комплекс Бибирево"", шк.отд. №2)",1,145,146,145,145,145,145,"124,5714286"
Москва,Список,77.072.40,"город Москва, Таллинская улица, дом 16, корпус 4 (ГБОУ города Москвы ""Школа №1155"")",126,124,124,124,125,125,124,"124,5714286"
Москва,Список,77.113.11,"город Москва, 2-й Павловский переулок, дом 3 (Совет ветеранов № 15)",123,123,123,123,123,123,123,123
Москва,Список,77.066.7,"город Москва, Ясный проезд, дом 10А (ГБОУ СОШ № 285, школьное отделение № 3)",1,143,143,143,143,143,143,"122,7142857"
Москва,Список,77.049.19,"город Москва, Клинская улица, дом 24 (ГБОУ г.Москвы «Школа № 1474»)",174,0,170,172,168,0,172,"122,2857143"
Москва,Список,77.064.22,"город Москва, Осташковская улица, дом 30, корпус 2 (Структурное подразделение №10 ГБОУ Школа № 283)",1,141,142,142,142,142,142,"121,7142857"
Москва,Список,77.069.17,"город Москва, 3-й Митинский переулок, дом 12, корпус 1 (ГБОУ города Москвы ""Школа № 1747"")",156,116,116,116,116,116,116,"121,7142857"
Москва,Список,77.119.4,"город Москва, Варшавское шоссе, дом 70, корпус 1 (Местная организация Всероссийского общества слепых)",122,122,122,121,122,121,121,"121,5714286"
Москва,Список,77.052.4,"город Москва, Инженерная улица, дом 16 (ГБОУ Школа № 305)",0,141,141,141,141,141,141,"120,8571429"
Москва,Список,77.116.20,"город Москва, улица Борисовские Пруды, дом 11, корпус 1 (ГБОУ ""Школа № 1579"")",121,120,120,120,120,121,121,"120,4285714"
Москва,Список,77.073.7,"город Москва, улица Народного Ополчения, дом 7, корпус 2 (ГБУДО ""Детская художественная школа им. В.Ф.Стожарова"")",120,120,121,120,120,120,120,"120,1428571"
Москва,Список,77.064.17,"город Москва, улица Грекова, дом 20 (Структурное подразделение №2 ГБОУ Школа № 283)",0,140,140,140,140,140,140,120
Москва,Список,77.068.7,"город Москва, Юровская улица, дом 97 (ГБОУ ""Школа №1298"" ""Профиль Куркино"")",149,1,172,172,171,2,173,120
Москва,Список,77.040.19,"город Москва, Онежская улица, дом 3 (колледж №11, 1 этаж)",168,0,165,167,167,0,169,"119,4285714"
Москва,Список,77.061.31,"город Москва, улица Мусоргского, дом 11Г (ГБОУ ""Школа № 1554"")",119,117,119,119,119,119,119,"118,7142857"
Москва,Список,77.040.17,"город Москва, Флотская улица, дом 64 (гимназия №1583, 2 этаж)",166,1,165,165,164,1,166,"118,2857143"
Москва,Список,77.097.20,"город Москва, улица Трофимова, дом 11 (помещение Совета ветеранов)",118,118,118,118,118,118,118,118
Москва,Список,77.054.13,"город Москва, улица Плещеева, дом 26А (ГБОУ г.Москвы ""Школа ""Многопрофильный комплекс Бибирево"", шк.отд.№4)",1,138,137,137,137,137,137,"117,7142857"
Москва,Список,77.071.25,"город Москва, улица Фомичёвой, дом 5, корпус 1 (ГБОУ Лицей №1571)",163,0,164,165,165,0,164,"117,2857143"
Москва,Список,77.075.18,"город Москва, улица Фабрициуса, дом 21 (ГАОУ ВО МГПУ Институт гуманитарных наук и управления)",117,117,117,117,117,117,117,117
